Consecutivo;estandar;competencia;estrategia;grado inicio;gradofinal;grados;grado unico;iddocente
268;1;Adecuo la entonación y la pronunciación a las exigencias de las situaciones comunicativas en que participo.;;4;5;4-5;4;admin
269;1;Produzco un texto oral, teniendo en cuenta la entonación, la articulación y la organización de ideas que requiere la situación comunicativa.;;4;5;4-5;4;admin
270;1;Elijo un tema para producir un texto escrito, teniendo en cuenta un propósito, las características del interlocutor y las exigencias del contexto.;;4;5;4-5;4;admin
271;1;Diseño un plan para elaborar un texto informativo.;;4;5;4-5;4;admin
272;1;Produzco la primera versión de un texto informativo, atendiendo a requerimientos (formales y conceptuales) de la producción escrita en lengua castellana, con énfasis en algunos aspectos gramaticales (concordancia, tiempos verbales, nombres, pronombres, entre otros) y ortográficos.;;4;5;4-5;4;admin
273;1;Reescribo el texto a partir de las propuestas de corrección formuladas por mis compañeros y por mí.;;4;5;4-5;4;admin
274;2;Comprendo diversos tipos de texto, utilizando algunas estrategias de búsqueda, organización y almacenamiento de la información.;;4;5;4-5;4;admin
275;2;Leo diversos tipos de texto: descriptivo, informativo, narrativo, explicativo y argumentativo.;;4;5;4-5;4;admin
276;2;Comprendo los aspectos formales y conceptuales (en especial: características de las oraciones y formas de relación entre ellas), al interior de cada texto leído.;;4;5;4-5;4;admin
277;2;Identifico la intención comunicativa de cada uno de los textos leídos.;;4;5;4-5;4;admin
278;2;Determino algunas estrategias para buscar, seleccionar y almacenar información: resúmenes,  cuadros sinópticos, mapas conceptuales y fichas.;;4;5;4-5;4;admin
279;2;Establezco diferencias y semejanzas entre las estrategias de búsqueda, selección y almacenamiento de información.;;4;5;4-5;4;admin
280;2;Utilizo estrategias de búsqueda, selección y almacenamiento de información para mis procesos de producción y comprensión textual.;;4;5;4-5;4;admin
281;3;Elaboro hipótesis de lectura acerca de las relaciones entre los elementos constitutivos de un texto literario, y entre éste y el contexto.;;4;5;4-5;4;admin
282;3;Leo diversos tipos de texto literario: relatos mitológicos, leyendas, cuentos, fábulas, poemas y obras teatrales.;;4;5;4-5;4;admin
283;3;Reconozco, en los textos literarios que leo, elementos tales como tiempo, espacio, acción, personajes.;;4;5;4-5;4;admin
284;3;Propongo hipótesis predictivas acerca de un texto literario, partiendo de aspectos como título, tipo de texto, época de la producción, etc.;;4;5;4-5;4;admin
285;3;Relaciono las hipótesis predictivas que surgen de los textos que leo, con su contexto y con otros textos, sean literarios o no.;;4;5;4-5;4;admin
286;3;Comparo textos narrativos, líricos y dramáticos, teniendo en cuenta algunos de sus elementos constitutivos.;;4;5;4-5;4;admin
287;4;Caracterizo los medios de comunicación masiva y selecciono la información que emiten, para utilizarla en la creación de nuevos textos.;;4;5;4-5;4;admin
288;4;Caracterizo el funcionamiento de algunos códigos no verbales con miras a su uso en situaciones comunicativas auténticas.;;4;5;4-5;4;admin
289;4;Reconozco las características de los diferentes medios de comunicación masiva.;;4;5;4-5;4;admin
290;4;Selecciono y clasifico la información emitida por los diferentes medios de comunicación.;;4;5;4-5;4;admin
291;4;Elaboro planes textuales con la información seleccionada de los medios de comunicación.;;4;5;4-5;4;admin
292;4;Produzco textos orales y escritos con base en planes en los que utilizo la información recogida de los medios.;;4;5;4-5;4;admin
293;4;Socializo, analizo y corrijo los textos producidos con base en la información tomada de los medios de comunicación masiva.;;4;5;4-5;4;admin
294;4;Entiendo las obras no verbales como productos de las comunidades humanas.;;4;5;4-5;4;admin
295;4;Doy cuenta de algunas estrategias empleadas para comunicar a través del lenguaje no verbal.;;4;5;4-5;4;admin
296;4;Explico el sentido que tienen mensajes no verbales en mi contexto: señales de tránsito, indicios, banderas, colores, etc.;;4;5;4-5;4;admin
297;4;Reconozco y uso códigos no verbales en situaciones comunicativas auténticas.;;4;5;4-5;4;admin
298;5;Conozco y analizo los elementos, roles, relaciones y reglas básicas de la comunicación, para inferir las intenciones y expectativas de mis interlocutores y hacer más eficaces mis procesos comunicativos.;;4;5;4-5;4;admin
299;5;Identifico los elementos constitutivos de la comunicación: interlocutores, código, canal, mensaje y contextos.;;4;5;4-5;4;admin
300;5;Caracterizo los roles desempeñados por los sujetos que participan del proceso comunicativo.;;4;5;4-5;4;admin
301;5;Tengo en cuenta, en mis interacciones comunicativas, principios básicos de la comunicación: reconocimiento del otro en tanto interlocutor válido y respeto por los turnos conversacionales.;;4;5;4-5;4;admin
302;5;Identifico en situaciones comunicativas reales los roles, las intenciones de los interlocutores y  el respeto por los principios básicos de la comunicación.;;4;5;4-5;4;admin
303;1;Conozco y utilizo algunas estrategias argumentativas que posibilitan la construcción de textos orales en situaciones comunicativas auténticas. Produzco textos escritos que responden a necesidades específicas de comunicación, a procedimientos sistemáticos de elaboración y establezco nexos intertextuales y extratextuales.;;6;7;6-7;6;admin
304;1;Defino una temática para la elaboración de un texto oral con fines argumentativos.;;6;7;6-7;6;admin
305;1;Formulo una hipótesis para demostrarla en un texto oral con fines argumentativos.;;6;7;6-7;6;admin
306;1;Llevo a cabo procedimientos de búsqueda, selección y almacenamiento de información acerca de la temática que voy a trataren un texto con fines argumentativos.;;6;7;6-7;6;admin
307;1;Elaboro un plan textual, jerarquizando la información que he obtenido de fuentes diversas.;;6;7;6-7;6;admin
308;1;Caracterizo estrategias argumentativas de tipo descriptivo.;;6;7;6-7;6;admin
309;1;Utilizo estrategias descriptivas para producir un texto oral con fines argumentativos.;;6;7;6-7;6;admin
310;1;Defino una temática para la producción de un texto narrativo.;;6;7;6-7;6;admin
311;1;Llevo a cabo procedimientos de búsqueda, selección y almacenamiento de información acerca de la temática que voy a tratar en mi texto narrativo.;;6;7;6-7;6;admin
312;1;Elaboro un plan textual, organizando la información en secuencias lógicas. Produzco una primera versión del texto narrativo teniendo en cuenta personajes, espacio, tiempos y vínculos con otros textos y con mi entorno.;;6;7;6-7;6;admin
313;1;Reescribo un texto, teniendo en cuenta aspectos de coherencia (unidad temática, relaciones lógicas, consecutividad temporal...) y cohesión (conectores, pronombres, manejo de modos verbales, puntuación...).;;6;7;6-7;6;admin
314;2;Comprendo e interpreto diversos tipos de texto, para establecer sus relaciones internas y su clasificación en una tipología textual.;;6;7;6-7;6;admin
315;2;Reconozco las características de los diversos tipos de texto que leo.;;6;7;6-7;6;admin
316;2;Propongo hipótesis de interpretación para cada uno de los tipos de texto que he leído.;;6;7;6-7;6;admin
317;2;Identifico las principales características formales del texto: formato de presentación, títulos, graficación, capítulos, organización, etc. Comparo el contenido de los diferentes tipos de texto que he leído.;;6;7;6-7;6;admin
318;2;Relaciono la forma y el contenido de los textos que leo y muestro cómo se influyen mutuamente.;;6;7;6-7;6;admin
319;2;Establezco relaciones de semejanza y diferencia entre los diversos tipos de texto que he leído.;;6;7;6-7;6;admin
320;3;Interpreto y clasifico textos provenientes de la tradición oral tales como coplas, leyendas, relatos mitológicos, canciones, proverbios, refranes, parábolas, entre otros.;;6;7;6-7;6;admin
321;3;Caracterizo rasgos específicos que consolidan la tradición oral, como: origen, autoría colectiva, función social, uso del lenguaje, evolución, recurrencias temáticas, etc.;;6;7;6-7;6;admin
322;3;Identifico en la tradición oral el origen de los géneros literarios fundamentales: lírico, narrativo y dramático.;;6;7;6-7;6;admin
323;3;Establezco relaciones entre los textos provenientes de la tradición oral y otros textos en cuanto a temas, personajes, lenguaje, entre otros aspectos.;;6;7;6-7;6;admin
324;3;Reconozco la tradición oral como fuente de la conformación y desarrollo de la literatura.;;6;7;6-7;6;admin
325;3;Comprendo obras literarias de diferentes géneros, propiciando así el desarrollo de mi capacidad crítica y creativa.;;6;7;6-7;6;admin
326;3;Leo obras literarias de género narrativo, lírico y dramático, de diversa temática, época y región. Comprendo elementos constitutivos de obras literarias, tales como tiempo, espacio, función de los personajes, lenguaje, atmósferas, diálogos, escenas, entre otros.;;6;7;6-7;6;admin
327;3;Reconozco en las obras literarias procedimientos narrativos, líricos y dramáticos.;;6;7;6-7;6;admin
328;3;Comparo los procedimientos narrativos, líricos o dramáticos empleados en la literatura que permiten estudiarla por géneros.;;6;7;6-7;6;admin
329;3;Formulo hipótesis de comprensión acerca de las obras literarias que leo teniendo en cuenta género, temática, época y región.;;6;7;6-7;6;admin
330;4;Caracterizo los medios de comunicación masiva y selecciono la información que emiten para clasificarla y almacenarla.;;6;7;6-7;6;admin
331;4;Reconozco las características de los principales medios de comunicación masiva.;;6;7;6-7;6;admin
332;4;Selecciono y clasifico la información emitida por los medios de comunicación masiva.;;6;7;6-7;6;admin
333;4;Recopilo en fi chas, mapas, gráficos y cuadros la información que he obtenido de los medios de comunicación masiva.;;6;7;6-7;6;admin
334;4;Organizo (mediante ordenación alfabética, temática, de autores, medio de difusión, entre muchas otras posibilidades) la información recopilada y la almaceno de tal forma que la pueda consultar cuando lo requiera.;;6;7;6-7;6;admin
335;4;Relaciono de manera intertextual obras que emplean el lenguaje no verbal y obras que emplean el lenguaje verbal.;;6;7;6-7;6;admin
336;4;Caracterizo obras no verbales (pintura, escultura, arquitectura, danza, etc.), mediante producciones verbales.;;6;7;6-7;6;admin
337;4;Cotejo obras no verbales con las descripciones y explicaciones que se han formulado acerca de dichas obras.;;6;7;6-7;6;admin
338;4;Comparo el sentido que tiene el uso del espacio y de los movimientos corporales en situaciones comunicativas cotidianas, con el sentido que tienen en obras artísticas.;;6;7;6-7;6;admin
339;4;Propongo hipótesis de interpretación de espectáculos teatrales, obras pictóricas, escultóricas, arquitectónicas, entre otras.;;6;7;6-7;6;admin
340;5;Reconozco, en situaciones comunicativas auténticas, la diversidad y el encuentro de culturas, con el fin de afianzar mis actitudes de respeto y tolerancia.;;6;7;6-7;6;admin
341;5;Caracterizo el contexto cultural del otro y lo comparo con el mío.;;6;7;6-7;6;admin
342;5;Identifico en situaciones comunicativas auténticas algunas variantes lingüísticas de mi entorno, generadas por ubicación geográfica, diferencia social o generacional, profesión, oficio, entre otras.;;6;7;6-7;6;admin
343;5;Evidencio que las variantes lingüísticas encierran una visión particular del mundo.;;6;7;6-7;6;admin
344;5;Reconozco que las variantes lingüísticas y culturales no impiden respetar al otro como interlocutor válido.;;6;7;6-7;6;admin
345;1;Produzco textos orales de tipo argumentativo para exponer mis ideas y llegar a acuerdos en los que prime el respeto por mi interlocutor y la valoración de los contextos comunicativos.;;8;9;8-9;8;admin
346;1;Produzco textos escritos que evidencian el conocimiento que he alcanzado acerca del  funcionamiento de la lengua en situaciones de comunicación y el uso de las estrategias de producción textual.;;8;9;8-9;8;admin
347;1;Organizo previamente las ideas que deseo exponer y me documento para sustentarlas.;;8;9;8-9;8;admin
348;1;Identifico y valoro los aportes de mi interlocutor y del contexto en el que expongo mis ideas.;;8;9;8-9;8;admin
349;1;Caracterizo y utilizo estrategias descriptivas y explicativas para argumentar mis ideas, valorando y respetando las normas básicas de la comunicación.;;8;9;8-9;8;admin
350;1;Utilizo el discurso oral para establecer acuerdos a partir del reconocimiento de los argumentos de mis interlocutores y la fuerza de mis propios argumentos.;;8;9;8-9;8;admin
351;1;Diseño un plan textual para la presentación de mis ideas, pensamientos y saberes en los contextos en que así lo requiera.;;8;9;8-9;8;admin
352;1;Utilizo un texto explicativo para la presentación de mis ideas, pensamientos y saberes, de acuerdo con las características de mi interlocutor y con la intención que persigo al producir el texto.;;8;9;8-9;8;admin
353;1;Identifico estrategias que garantizan coherencia, cohesión y pertinencia del texto.;;8;9;8-9;8;admin
354;1;Tengo en cuenta reglas sintácticas, semánticas y pragmáticas para la producción de un texto.;;8;9;8-9;8;admin
355;1;Elaboro una primera versión de un texto explicativo atendiendo a los requerimientos estructurales, conceptuales y lingüísticos.;;8;9;8-9;8;admin
356;1;Reescribo el texto, a partir de mi propia valoración y del efecto causado por éste en mis interlocutores.;;8;9;8-9;8;admin
357;2;Comprendo e interpreto textos, teniendo en cuenta el funcionamiento de la lengua en situaciones de comunicación, el uso de estrategias de lectura y el papel del interlocutor y del contexto.;;8;9;8-9;8;admin
358;2;Elaboro hipótesis de lectura de diferentes textos, a partir de la revisión de sus características como: forma de presentación, títulos, graficación y manejo de la lengua: marcas textuales, organización sintáctica, uso de deícticos, entre otras.;;8;9;8-9;8;admin
359;2;Comprendo el sentido global de cada uno de los textos que leo, la intención de quien lo produce y las características del contexto en el que se produce.;;8;9;8-9;8;admin
360;2;Caracterizo los textos de acuerdo con la  intención comunicativa de quien los produce.;;8;9;8-9;8;admin
361;2;Analizo los aspectos textuales, conceptuales y formales de cada uno de los textos que leo.;;8;9;8-9;8;admin
362;2;Infiero otros sentidos en cada uno de los textos que leo, relacionándolos con su sentido global y con el contexto en el cual se han producido, reconociendo rasgos sociológicos, ideológicos, científicos y culturales.;;8;9;8-9;8;admin
363;3;Determino en las obras literarias latinoamericanas, elementos textuales que dan cuenta de sus características estéticas, históricas y sociológicas, cuando sea pertinente.;;8;9;8-9;8;admin
364;3;Conozco y caracterizo producciones literarias de la tradición oral latinoamericana.;;8;9;8-9;8;admin
365;3;Leo con sentido crítico obras literarias de autores latinoamericanos.;;8;9;8-9;8;admin
366;3;Establezco relaciones entre obras literarias latinoamericanas, procedentes de fuentes escritas y orales.;;8;9;8-9;8;admin
367;3;Caracterizo los principales momentos de la literatura latinoamericana, atendiendo a particularidades temporales, geográficas, de género, de autor, etc.;;8;9;8-9;8;admin
368;3;Identifico los recursos del lenguaje empleados por autores latinoamericanos de diferentes épocas y los comparo con los empleados por autores de otros contextos temporales y espaciales, cuando sea pertinente.;;8;9;8-9;8;admin
369;4;Retomo crítica y selectivamente la información que circula a través de los medios de comunicación  masiva, para confrontarla con la que proviene de otras fuentes.;;8;9;8-9;8;admin
370;4;Comprendo los factores sociales y culturales que determinan algunas manifestaciones del lenguaje no verbal.;;8;9;8-9;8;admin
371;4;Caracterizo los medios de comunicación masiva a partir de aspectos como: de qué manera(s) difunden la información, cuál es su cobertura y alcance, y a qué tipo de audiencia se dirigen, entre otros.;;8;9;8-9;8;admin
372;4;Diferencio los medios de comunicación masiva de acuerdo con sus características formales y conceptuales, haciendo énfasis en el código, los recursos técnicos, el manejo de la información y los potenciales mecanismos de participación de la audiencia.;;8;9;8-9;8;admin
373;4;Utilizo estrategias para la búsqueda, organización, almacenamiento y recuperación de información que circula en diferentes medios de comunicación masiva.;;8;9;8-9;8;admin
374;4;Selecciono la información obtenida a través de los medios masivos, para satisfacer mis necesidades comunicativas.;;8;9;8-9;8;admin
375;4;Utilizo estrategias para la búsqueda, organización, almacenamiento y recuperación de la información que proporcionan fuentes bibliográficas y la que se produce en los contextos en los que interactúo.;;8;9;8-9;8;admin
376;4;Establezco relaciones entre la información seleccionada en los medios de difusión masiva y la contrasto críticamente con la que recojo de los contextos en los cuales intervengo.;;8;9;8-9;8;admin
377;4;Determino características, funciones e intenciones de los discursos que circulan a través de los medios de comunicación masiva.;;8;9;8-9;8;admin
378;4;Interpreto elementos políticos, culturales e ideológicos que están presentes en la información que difunden los medios masivos y adopto una posición crítica frente a ellos.;;8;9;8-9;8;admin
379;4;Caracterizo diversas manifestaciones del lenguaje no verbal: música, pintura, escultura, arquitectura, mapas y tatuajes, entre otras.;;8;9;8-9;8;admin
380;4;Identifico rasgos culturales y sociales en diversas manifestaciones del lenguaje no verbal: música, pintura, escultura, arquitectura, mapas y tatuajes, entre otros.;;8;9;8-9;8;admin
381;4;Relaciono manifestaciones artísticas no verbales con las personas y las comunidades humanas que las produjeron.;;8;9;8-9;8;admin
382;4;Interpreto manifestaciones artísticas no verbales y las relaciono con otras producciones humanas, ya sean artísticas o no.;;8;9;8-9;8;admin
383;5;Reflexiono en forma crítica acerca de los actos comunicativos y explico los componentes del proceso de comunicación, con énfasis en los agentes, los discursos, los contextos y el funcionamiento de la lengua, en tanto sistema de signos, símbolos y reglas de uso.;;8;9;8-9;8;admin
384;5;Reconozco el lenguaje como capacidad humana que configura múltiples sistemas simbólicos y posibilita los procesos de significar y comunicar.;;8;9;8-9;8;admin
385;5;Entiendo la lengua como uno de los sistemas simbólicos producto del lenguaje y la caracterizo en sus aspectos convencionales y arbitrarios.;;8;9;8-9;8;admin
386;5;Explico el proceso de comunicación y doy cuenta de los aspectos e individuos que intervienen en su dinámica.;;8;9;8-9;8;admin
387;5;Comprendo el concepto de coherencia y distingo entre coherencia local y global, en textos míos o de mis compañeros.;;8;9;8-9;8;admin
388;5;Valoro, entiendo y adopto los aportes de la ortografía para la comprensión y producción de textos.;;8;9;8-9;8;admin
389;1;Produzco textos argumentativos que evidencian mi conocimiento de la lengua y el control sobre el uso que hago de ella en contextos comunicativos orales y escritos.;;10;11;10-11;10;admin
390;1;Comprendo el valor del lenguaje en los procesos de construcción del conocimiento.;;10;11;10-11;10;admin
391;1;Desarrollo procesos de autocontrol y corrección lingüística en mi producción de textos orales y escritos.;;10;11;10-11;10;admin
392;1;Caracterizo y utilizo estrategias descriptivas, explicativas y analógicas en mi producción de textos orales y escritos.;;10;11;10-11;10;admin
393;1;Evidencio en mis producciones textuales el conocimiento de los diferentes niveles de la lengua y el control sobre el uso que hago de ellos en contextos comunicativos.;;10;11;10-11;10;admin
394;1;Produzco ensayos de carácter argumentativo en los que desarrollo mis ideas con rigor y  tendiendo a las características propias del género.;;10;11;10-11;10;admin
395;2;Comprendo e interpreto textos con actitud crítica y capacidad argumentativa.;;10;11;10-11;10;admin
396;2;Elaboro hipótesis de interpretación atendiendo a la intención comunicativa y al sentido global del  texto que leo.;;10;11;10-11;10;admin
397;2;Relaciono el significado de los textos que leo con los contextos sociales, culturales y políticos en los cuales se han producido.;;10;11;10-11;10;admin
398;2;Diseño un esquema de interpretación, teniendo en cuenta al tipo de texto, tema, interlocutor e intención comunicativa.;;10;11;10-11;10;admin
399;2;Construyo reseñas críticas acerca de los textos que leo.;;10;11;10-11;10;admin
400;2;Asumo una actitud crítica frente a los textos que leo y elaboro, y frente a otros tipos de texto: explicativos, descriptivos y narrativos.;;10;11;10-11;10;admin
401;3;Analizo crítica y creativamente diferentes manifestaciones literarias del contexto universal.;;10;11;10-11;10;admin
402;3;Leo textos literarios de diversa índole, género, temática y origen.;;10;11;10-11;10;admin
403;3;Identifico en obras de la literatura universal el lenguaje, las características formales, las épocas y escuelas, estilos, tendencias, temáticas, géneros y autores, entre otros aspectos.;;10;11;10-11;10;admin
404;3;Comprendo en los textos que leo las dimensiones éticas, estéticas, filosóficas, entre otras, que se evidencian en ellos.;;10;11;10-11;10;admin
405;3;Comparo textos de diversos autores, temas, épocas y culturas, y utilizo recursos de la teoría literaria para enriquecer su interpretación.;;10;11;10-11;10;admin
406;4;Interpreto en forma crítica la información difundida por los medios de comunicación masiva.;;10;11;10-11;10;admin
407;4;Retomo críticamente los lenguajes no verbales para desarrollar procesos comunicativos intencionados.;;10;11;10-11;10;admin
408;4;Comprendo el papel que cumplen los medios de comunicación masiva en el contexto social, cultural, económico y político de las sociedades contemporáneas.;;10;11;10-11;10;admin
409;4;Infiero las implicaciones de los medios de comunicación masiva en la conformación de los contextos sociales, culturales, políticos, etc., del país.;;10;11;10-11;10;admin
410;4;Analizo los mecanismos ideológicos que subyacen a la estructura de los medios de información masiva.;;10;11;10-11;10;admin
411;4;Asumo una posición crítica frente a los elementos ideológicos presentes en dichos medios, y analizo su incidencia en la sociedad actual.;;10;11;10-11;10;admin
412;4;Doy cuenta del uso del lenguaje verbal o no verbal en manifestaciones humanas como los graffiti, la publicidad, los símbolos patrios, las canciones, los caligramas, entre otros.;;10;11;10-11;10;admin
413;4;Analizo las implicaciones culturales, sociales e ideológicas de manifestaciones humanas como los graffiti, la publicidad, los símbolos patrios, las canciones, los caligramas, entre otros.;;10;11;10-11;10;admin
414;4;Explico cómo los códigos verbales y no verbales se articulan para generar sentido en obras cinematográficas, canciones y caligramas, entre otras.;;10;11;10-11;10;admin
415;4;Produzco textos, empleando lenguaje verbal o no verbal, para exponer mis ideas o para recrear realidades, con sentido crítico.;;10;11;10-11;10;admin
416;5;Expreso respeto por la diversidad cultural y social del mundo contemporáneo, en las situaciones comunicativas en las que intervengo.;;10;11;10-11;10;admin
417;5;Identifico, caracterizo y valoro diferentes grupos humanos teniendo en cuenta aspectos étnicos, lingüísticos, sociales y culturales, entre otros, del mundo contemporáneo.;;10;11;10-11;10;admin
418;5;Respeto la diversidad de criterios y posiciones ideológicas que surgen en los grupos humanos. Utilizo el diálogo y la argumentación para superar enfrentamientos y posiciones antagónicas.;;10;11;10-11;10;admin
419;5;Comprendo que en la relación intercultural con las comunidades indígenas y afrocolombianas deben primar el respeto y la igualdad, lo que propiciará el acercamiento socio-cultural entre todos los colombianos.;;10;11;10-11;10;admin
420;5;Argumento, en forma oral y escrita, acerca de temas y problemáticas que puedan ser objeto de intolerancia, segregación, señalamientos, etc.;;10;11;10-11;10;admin
